ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 07:04:07,2,2000,18,30
09/03/2013 07:04:09,2,2000,23,33
09/03/2013 07:04:11,2,2000,20,33
09/03/2013 07:04:12,2,2000,17,34
09/03/2013 07:04:15,2,2000,20,32
09/03/2013 07:04:17,2,2000,19,35
09/03/2013 07:04:19,2,2000,19,35
09/03/2013 07:04:21,2,2000,19,33
09/03/2013 07:04:23,2,3000,22,42
09/03/2013 07:04:25,2,3000,22,43
09/03/2013 07:04:27,2,3000,32,40
09/03/2013 07:04:30,2,3000,20,41
09/03/2013 07:04:33,2,3000,1019,41
09/03/2013 07:04:34,2,3000,19,43
09/03/2013 07:04:36,2,3000,20,41
09/03/2013 07:04:38,2,3000,21,40
09/03/2013 07:04:40,2,3000,21,42
09/03/2013 07:04:42,2,3000,20,41
09/03/2013 07:04:44,2,4000,23,48
09/03/2013 07:04:46,2,4000,19,45
09/03/2013 07:04:48,2,4000,23,49
09/03/2013 07:04:51,2,4000,23,50
09/03/2013 07:04:53,2,4000,21,50
09/03/2013 07:04:54,2,4000,20,48
09/03/2013 07:04:56,2,4000,28,49
09/03/2013 07:04:58,2,4000,23,47
09/03/2013 07:05:01,2,4000,1019,49
09/03/2013 07:05:03,2,4000,23,47
09/03/2013 07:05:05,2,5000,24,54
09/03/2013 07:05:07,2,5000,24,57
09/03/2013 07:05:10,2,5000,25,54
09/03/2013 07:05:12,2,5000,23,53
09/03/2013 07:05:15,2,5000,25,56
09/03/2013 07:05:17,2,5000,21,55
09/03/2013 07:05:19,2,5000,25,53
09/03/2013 07:05:21,2,5000,29,55
09/03/2013 07:05:23,2,5000,26,51
09/03/2013 07:05:25,2,5000,22,54
09/03/2013 07:05:27,2,6000,26,61
09/03/2013 07:05:29,2,6000,25,59
09/03/2013 07:05:31,2,6000,25,60
09/03/2013 07:05:33,2,6000,22,64
09/03/2013 07:05:35,2,6000,30,62
09/03/2013 07:05:37,2,6000,23,59
09/03/2013 07:05:39,2,6000,27,59
09/03/2013 07:05:41,2,6000,22,60
09/03/2013 07:05:43,2,6000,24,62
09/03/2013 07:05:45,2,6000,29,63
09/03/2013 07:05:47,2,7000,29,63
09/03/2013 07:05:48,2,7000,30,64
09/03/2013 07:05:50,2,7000,27,65
09/03/2013 07:05:52,2,7000,31,64
09/03/2013 07:05:54,2,7000,29,65
09/03/2013 07:05:56,2,7000,29,67
09/03/2013 07:05:58,2,7000,30,65
09/03/2013 07:06:00,2,7000,30,65
09/03/2013 07:06:02,2,7000,27,65
09/03/2013 07:06:04,2,7000,32,64
09/03/2013 07:06:06,2,8000,33,69
09/03/2013 07:06:08,2,8000,26,75
09/03/2013 07:06:10,2,8000,25,75
09/03/2013 07:06:12,2,8000,28,74
09/03/2013 07:06:14,2,8000,34,75
09/03/2013 07:06:16,2,8000,32,68
09/03/2013 07:06:18,2,8000,28,76
09/03/2013 07:06:20,2,8000,29,71
09/03/2013 07:06:22,2,8000,33,75
09/03/2013 07:06:23,2,8000,33,75
09/03/2013 07:06:25,2,9000,30,77
09/03/2013 07:06:27,2,9000,31,74
09/03/2013 07:06:29,2,9000,27,77
09/03/2013 07:06:31,2,9000,37,81
09/03/2013 07:06:33,2,9000,32,77
09/03/2013 07:06:35,2,9000,33,78
09/03/2013 07:06:37,2,9000,30,80
09/03/2013 07:06:39,2,9000,34,77
09/03/2013 07:06:41,2,9000,30,77
09/03/2013 07:06:43,2,9000,30,79
09/03/2013 07:06:45,2,10000,31,80
09/03/2013 07:06:47,2,10000,34,82
09/03/2013 07:06:49,2,10000,31,84
09/03/2013 07:06:51,2,10000,34,83
09/03/2013 07:06:53,2,10000,35,78
09/03/2013 07:06:55,2,10000,31,82
09/03/2013 07:06:57,2,10000,37,81
09/03/2013 07:06:59,2,10000,37,86
09/03/2013 07:07:01,2,10000,38,81
09/03/2013 07:07:03,2,10000,29,81
