,T,N,SortTime,CombineTime,
8/21/2013 12:09,64,100,31,12,12
8/21/2013 12:09,64,100,18,16,16
8/21/2013 12:09,64,200,81,16,16
8/21/2013 12:09,64,200,6,16,16
8/21/2013 12:09,64,200,34,15,15
8/21/2013 12:09,64,200,28,14,14
8/21/2013 12:09,64,200,11,15,15
8/21/2013 12:09,64,200,94,15,15
8/21/2013 12:09,64,200,184,16,16
8/21/2013 12:09,64,200,33,18,18
8/21/2013 12:09,64,200,21,26,26
8/21/2013 12:09,64,200,21,18,18
8/21/2013 12:09,64,300,53,19,19
8/21/2013 12:09,64,300,24,25,25
8/21/2013 12:09,64,300,39,18,18
8/21/2013 12:09,64,300,19,18,18
8/21/2013 12:09,64,300,32,16,16
8/21/2013 12:09,64,300,28,19,19
8/21/2013 12:09,64,300,15,21,21
8/21/2013 12:09,64,300,139,36,36
8/21/2013 12:09,64,300,51,17,17
8/21/2013 12:09,64,300,11,18,18
8/21/2013 12:09,64,400,21,21,21
8/21/2013 12:09,64,400,44,30,30
8/21/2013 12:09,64,400,20,24,24
8/21/2013 12:09,64,400,55,21,21
8/21/2013 12:09,64,400,220,27,27
8/21/2013 12:09,64,400,34,22,22
8/21/2013 12:09,64,400,36,41,41
8/21/2013 12:09,64,400,35,21,21
8/21/2013 12:09,64,400,27,19,19
8/21/2013 12:09,64,400,87,75,75
8/21/2013 12:09,64,500,13,20,20
8/21/2013 12:09,64,500,24,21,21
8/21/2013 12:09,64,500,18,23,23
8/21/2013 12:09,64,500,158,95,95
8/21/2013 12:09,64,500,24,26,26
8/21/2013 12:09,64,500,27,21,21
8/21/2013 12:09,64,500,119,26,26
8/21/2013 12:09,64,500,28,28,28
8/21/2013 12:09,64,500,21,24,24
8/21/2013 12:09,64,500,22,24,24
8/21/2013 12:09,64,600,15,41,41
8/21/2013 12:09,64,600,29,27,27
8/21/2013 12:09,64,600,23,27,27
8/21/2013 12:09,64,600,30,29,29
8/21/2013 12:09,64,600,23,27,27
8/21/2013 12:09,64,600,99,26,26
8/21/2013 12:09,64,600,80,31,31
8/21/2013 12:09,64,600,17,26,26
8/21/2013 12:09,64,600,23,31,31
8/21/2013 12:09,64,600,51,45,45
8/21/2013 12:09,64,700,27,34,34
8/21/2013 12:09,64,700,112,44,44
8/21/2013 12:09,64,700,24,34,34
8/21/2013 12:09,64,700,91,31,31
8/21/2013 12:09,64,700,11,30,30
8/21/2013 12:09,64,700,22,31,31
8/21/2013 12:09,64,700,129,126,126
