t,n,SortTime,CombineTime,TotalTime
8,9000,5206551,911035,6117586
8,9000,4763884,1043862,5807746
8,9000,5518740,1088743,6607483
8,10000,5088492,845784,5934276
8,10000,5296692,893723,6190415
8,10000,5403385,1182496,6585881
8,10000,4968513,1183065,6151578
8,10000,4701591,1162631,5864222
8,10000,4722070,1191228,5913298
8,10000,5211732,1174672,6386404
8,10000,5025070,1032236,6057306
8,10000,5193328,1175508,6368836
8,10000,6120227,832753,6952980
8,10000,4770844,844098,5614942
8,10000,4890950,1177221,6068171
8,10000,4926791,1158989,6085780
8,10000,5528878,1173233,6702111
8,10000,5843901,821377,6665278
8,10000,5075338,1153245,6228583
8,10000,5253631,1172686,6426317
8,10000,5164120,824015,5988135
8,10000,4823319,1173244,5996563
8,10000,4541915,1168711,5710626
8,10000,6640641,1168303,7808944
8,10000,4795245,1004221,5799466
8,10000,5311862,832735,6144597
8,10000,5815383,1166932,6982315
8,10000,4617294,1171073,5788367
8,10000,5206810,1170008,6376818
8,10000,4245496,825484,5070980
8,10000,5630188,1196459,6826647
8,10000,5872481,1176679,7049160
8,10000,5203017,1164121,6367138
8,10000,4750607,1174198,5924805
8,10000,4674876,1147932,5822808
8,10000,5546854,877867,6424721
8,10000,5181698,1162580,6344278
8,10000,5850051,1173631,7023682
8,10000,4822996,1210666,6033662
8,10000,4458210,1195949,5654159
8,10000,5401882,1168589,6570471
8,10000,4322310,948515,5270825
8,10000,5077246,837145,5914391
8,10000,5091240,1163390,6254630
8,10000,5871574,1161116,7032690
8,10000,4704240,1157546,5861786
8,10000,5708251,1161245,6869496
8,10000,6042503,830935,6873438
8,10000,4661496,909266,5570762
8,10000,4917213,819995,5737208
8,10000,5055395,1099347,6154742
8,10000,5262672,1165453,6428125
8,10000,5004354,829750,5834104
8,10000,5083044,826153,5909197
8,10000,4771548,858485,5630033
8,10000,4759903,832435,5592338
8,10000,4627922,1193763,5821685
8,10000,6103884,1151915,7255799
8,10000,4925598,854787,5780385
8,10000,5155517,1020380,6175897
8,10000,5229737,832229,6061966
8,10000,4796334,1159281,5955615
8,10000,5348927,1168303,6517230
8,10000,4880650,1219495,6100145
8,10000,4888246,1179693,6067939
8,10000,5002476,1182156,6184632
